Iowa, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,26.5,8.8
201202,29.6,6.9
201203,51.6,17.0
201204,52.4,4.3
201205,65.0,5.2
201206,71.4,2.3
201207,79.6,5.7
201208,71.0,-0.4
201209,62.1,-0.9
201210,48.8,-2.6
201211,39.2,3.5
201212,27.7,5.0
201301,22.0,4.3
201302,24.2,1.5
201303,29.0,-5.6
201304,43.8,-4.3
201305,59.0,-0.8
201306,68.9,-0.2
201307,72.3,-1.6
201308,71.9,0.5
201309,67.0,4.0
201310,50.5,-0.9
201311,33.9,-1.8
201312,17.4,-5.3
201401,14.2,-3.5
201402,13.2,-9.5
201403,29.7,-4.9
201404,47.5,-0.6
201405,60.0,0.2
201406,70.2,1.1
201407,68.8,-5.1
201408,71.2,-0.2
201409,62.0,-1.0
201410,51.2,-0.2
201411,29.3,-6.4
201412,28.2,5.5
201501,21.6,3.9
201502,14.5,-8.2
201503,37.3,2.7
201504,51.1,3.0
201505,60.0,0.2
201506,69.4,0.3
201507,72.0,-1.9
201508,68.9,-2.5
201509,68.4,5.4
201510,53.0,1.6
201511,42.0,6.3
201512,33.0,10.3
201601,19.6,1.9
201602,28.6,5.9
201603,42.4,7.8
201604,50.1,2.0
201605,59.5,-0.3
201606,73.0,3.9
201607,72.8,-1.1
201608,72.0,0.6
201609,67.3,4.3
201610,55.3,3.9
201611,45.1,9.4
201612,22.9,0.2
201701,24.2,6.5
201702,34.5,11.8
201703,37.5,2.9
201704,51.1,3.0
201705,58.5,-1.3
201706,71.1,2.0
201707,74.7,0.8
201708,67.8,-3.6
201709,66.7,3.7
201710,53.3,1.9
201711,36.2,0.5
201712,24.4,1.7
201801,17.8,0.1
201802,20.5,-2.2
201803,35.2,0.6
201804,39.3,-8.8
201805,67.0,7.2
201806,73.1,4.0
201807,73.1,-0.8
201808,71.8,0.4
201809,65.9,2.9
201810,48.2,-3.2
201811,30.0,-5.7
201812,28.0,5.3
201901,18.7,1.0
201902,15.3,-7.4
201903,31.1,-3.5
201904,49.2,1.1
201905,56.6,-3.2
201906,69.3,0.2
201907,75.1,1.2
201908,69.6,-1.8
201909,68.2,5.2
201910,47.1,-4.3
201911,32.4,-3.3
201912,29.2,6.5
202001,23.1,5.4
202002,24.9,2.2
202003,40.3,5.7
202004,46.7,-1.4
202005,57.6,-2.2
202006,72.9,3.8
202007,75.3,1.4
202008,71.9,0.5
202009,61.9,-1.1
202010,46.0,-5.4
202011,42.0,6.3
202012,27.2,4.5
202101,23.9,6.2
202102,12.5,-10.2
202103,42.3,7.7
202104,49.3,1.2
202105,59.0,-0.8
202106,73.5,4.4
202107,73.3,-0.6
202108,72.9,1.5
202109,66.6,3.6
202110,55.5,4.1
202111,39.1,3.4
202112,31.9,9.2
