New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,35.6,6.0
201202,38.9,8.3
201203,49.8,10.5
201204,52.6,3.3
201205,65.1,5.3
201206,70.0,1.5
201207,77.8,4.3
201208,74.7,3.1
201209,67.0,2.0
201210,56.8,2.8
201211,41.5,-1.6
201212,40.6,7.6
201301,33.9,4.3
201302,32.8,2.2
201303,38.6,-0.7
201304,51.5,2.2
201305,60.9,1.1
201306,71.2,2.7
201307,77.8,4.3
201308,71.4,-0.2
201309,64.4,-0.6
201310,57.1,3.1
201311,42.9,-0.2
201312,36.0,3.0
201401,26.0,-3.6
201402,29.5,-1.1
201403,35.4,-3.9
201404,50.3,1.0
201405,62.0,2.2
201406,70.6,2.1
201407,74.1,0.6
201408,70.8,-0.8
201409,66.9,1.9
201410,57.0,3.0
201411,42.0,-1.1
201412,38.7,5.7
201501,27.9,-1.7
201502,22.3,-8.3
201503,35.9,-3.4
201504,51.5,2.2
201505,66.1,6.3
201506,70.3,1.8
201507,75.2,1.7
201508,74.3,2.7
201509,70.7,5.7
201510,54.5,0.5
201511,49.7,6.6
201512,48.0,15.0
201601,31.4,1.8
201602,36.0,5.4
201603,47.0,7.7
201604,50.7,1.4
201605,60.2,0.4
201606,70.6,2.1
201607,77.2,3.7
201608,76.9,5.3
201609,69.7,4.7
201610,56.7,2.7
201611,46.7,3.6
201612,36.3,3.3
201701,36.2,6.6
201702,40.4,9.8
201703,38.9,-0.4
201704,55.9,6.6
201705,60.0,0.2
201706,70.4,1.9
201707,75.5,2.0
201708,71.6,0.0
201709,68.2,3.2
201710,60.4,6.4
201711,44.4,1.3
201712,33.2,0.2
201801,29.2,-0.4
201802,39.4,8.8
201803,38.3,-1.0
201804,48.0,-1.3
201805,65.2,5.4
201806,70.1,1.6
201807,76.2,2.7
201808,76.8,5.2
201809,70.2,5.2
201810,56.4,2.4
201811,42.5,-0.6
201812,37.8,4.8
201901,31.6,2.0
201902,34.7,4.1
201903,39.4,0.1
201904,54.8,5.5
201905,62.8,3.0
201906,70.6,2.1
201907,78.0,4.5
201908,74.5,2.9
201909,69.0,4.0
201910,58.2,4.2
201911,41.3,-1.8
201912,36.4,3.4
202001,37.3,7.7
202002,39.1,8.5
202003,46.3,7.0
202004,48.7,-0.6
202005,59.1,-0.7
202006,71.5,3.0
202007,78.8,5.3
202008,75.5,3.9
202009,66.8,1.8
202010,57.0,3.0
202011,49.2,6.1
202012,37.0,4.0
202101,33.7,4.1
202102,32.1,1.5
202103,44.0,4.7
202104,52.6,3.3
202105,60.9,1.1
202106,71.8,3.3
202107,75.7,2.2
202108,75.8,4.2
202109,68.7,3.7
202110,61.0,7.0
202111,43.6,0.5
202112,41.3,8.3
