Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201201,25.1,6.7
201202,22.7,0.4
201203,39.4,10.3
201204,44.7,5.9
201205,50.0,1.6
201206,62.8,5.2
201207,70.0,4.7
201208,66.6,3.2
201209,57.5,3.9
201210,41.6,-0.9
201211,35.0,6.0
201212,22.1,1.5
201301,19.9,1.5
201302,22.6,0.3
201303,31.3,2.2
201304,34.7,-4.1
201305,50.4,2.0
201306,60.7,3.1
201307,67.8,2.5
201308,66.7,3.3
201309,57.3,3.7
201310,39.3,-3.2
201311,31.3,2.3
201312,18.1,-2.5
201401,23.3,4.9
201402,20.0,-2.3
201403,32.3,3.2
201404,39.6,0.8
201405,50.1,1.7
201406,56.4,-1.2
201407,66.4,1.1
201408,62.5,-0.9
201409,55.8,2.2
201410,46.9,4.4
201411,27.4,-1.6
201412,24.8,4.2
201501,25.6,7.2
201502,28.4,6.1
201503,37.7,8.6
201504,41.3,2.5
201505,47.0,-1.4
201506,63.0,5.4
201507,63.9,-1.4
201508,64.3,0.9
201509,59.4,5.8
201510,48.7,6.2
201511,29.2,0.2
201512,21.4,0.8
201601,22.7,4.3
201602,30.1,7.8
201603,34.5,5.4
201604,41.8,3.0
201605,47.9,-0.5
201606,63.8,6.2
201607,66.8,1.5
201608,63.5,0.1
201609,55.4,1.8
201610,46.5,4.0
201611,37.1,8.1
201612,16.8,-3.8
201701,16.7,-1.7
201702,27.8,5.5
201703,38.4,9.3
201704,40.1,1.3
201705,49.2,0.8
201706,60.0,2.4
201707,68.9,3.6
201708,63.5,0.1
201709,54.2,0.6
201710,41.1,-1.4
201711,34.7,5.7
201712,23.8,3.2
201801,25.1,6.7
201802,19.3,-3.0
201803,32.3,3.2
201804,39.7,0.9
201805,52.9,4.5
201806,60.4,2.8
201807,67.3,2.0
201808,63.6,0.2
201809,57.2,3.6
201810,41.0,-1.5
201811,28.6,-0.4
201812,21.5,0.9
201901,22.0,3.6
201902,16.8,-5.5
201903,27.0,-2.1
201904,41.1,2.3
201905,44.4,-4.0
201906,57.0,-0.6
201907,66.0,0.7
201908,64.9,1.5
201909,56.7,3.1
201910,34.2,-8.3
201911,30.2,1.2
201912,23.0,2.4
202001,23.8,5.4
202002,20.2,-2.1
202003,33.1,4.0
202004,37.6,-1.2
202005,50.3,1.9
202006,59.7,2.1
202007,66.6,1.3
202008,67.7,4.3
202009,55.5,1.9
202010,41.2,-1.3
202011,33.1,4.1
202012,24.5,3.9
202101,23.4,5.0
202102,17.4,-4.9
202103,32.2,3.1
202104,38.0,-0.8
202105,48.8,0.4
202106,64.8,7.2
202107,70.1,4.8
202108,64.2,0.8
202109,58.1,4.5
202110,43.8,1.3
202111,36.6,7.6
202112,26.1,5.5
